,Image,Accuracy,F1,Jaccard,Recall,Precision
693,new_data\test\image\volume-89_slice_259_0,1.0,1.0,1.0,1.0,1.0
694,new_data\test\image\volume-89_slice_25_0,1.0,1.0,1.0,1.0,1.0
695,new_data\test\image\volume-89_slice_279_0,1.0,1.0,1.0,1.0,1.0
696,new_data\test\image\volume-89_slice_290_0,1.0,1.0,1.0,1.0,1.0
697,new_data\test\image\volume-89_slice_293_0,1.0,1.0,1.0,1.0,1.0
698,new_data\test\image\volume-89_slice_304_0,1.0,1.0,1.0,1.0,1.0
699,new_data\test\image\volume-89_slice_309_0,1.0,1.0,1.0,1.0,1.0
700,new_data\test\image\volume-89_slice_316_0,1.0,1.0,1.0,1.0,1.0
701,new_data\test\image\volume-89_slice_336_0,1.0,1.0,1.0,1.0,1.0
702,new_data\test\image\volume-89_slice_338_0,1.0,1.0,1.0,1.0,1.0
703,new_data\test\image\volume-89_slice_340_0,1.0,1.0,1.0,1.0,1.0
704,new_data\test\image\volume-89_slice_342_0,1.0,1.0,1.0,1.0,1.0
705,new_data\test\image\volume-89_slice_344_0,1.0,1.0,1.0,1.0,1.0
706,new_data\test\image\volume-89_slice_358_0,1.0,1.0,1.0,1.0,1.0
707,new_data\test\image\volume-89_slice_361_0,1.0,1.0,1.0,1.0,1.0
708,new_data\test\image\volume-89_slice_369_0,0.999847412109375,0.999847412109375,0.9996948707777744,0.999847412109375,0.999847412109375
709,new_data\test\image\volume-89_slice_379_0,0.9996833801269531,0.9996833801269531,0.9993669606867333,0.9996833801269531,0.9996833801269531
710,new_data\test\image\volume-89_slice_381_0,0.9997100830078125,0.9997100830078125,0.9994203340706277,0.9997100830078125,0.9997100830078125
711,new_data\test\image\volume-89_slice_391_0,0.9995651245117188,0.9995651245117188,0.9991306270924052,0.9995651245117188,0.9995651245117188
712,new_data\test\image\volume-89_slice_419_0,0.9983711242675781,0.9983711242675781,0.9967475463779321,0.9983711242675781,0.9983711242675781
713,new_data\test\image\volume-89_slice_420_0,0.9990425109863281,0.9990425109863281,0.9980868537891348,0.9990425109863281,0.9990425109863281
714,new_data\test\image\volume-89_slice_433_0,0.9990081787109375,0.9990081787109375,0.9980183228914193,0.9990081787109375,0.9990081787109375
715,new_data\test\image\volume-89_slice_452_0,0.9980735778808594,0.9980735778808594,0.9961545636952739,0.9980735778808594,0.9980735778808594
