epoch,accuracy,dice_coef,iou,loss,lr,mse,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_mse,val_precision,val_recall
0,0.8624057769775391,0.6264448165893555,3.5057899951934814,0.37355461716651917,1e-04,158.2996368408203,0.016884377226233482,0.9471272230148315,0.9519397020339966,0.4466324746608734,2.6235315799713135,0.553367555141449,166.18397521972656,0.04951245337724686,0.9206985831260681
1,0.9082432389259338,0.6726694703102112,5.1118645668029785,0.32733115553855896,1e-04,158.23635864257812,0.025766948238015175,0.9638442993164062,0.9439780116081238,0.49056175351142883,7.264189720153809,0.509438157081604,166.1168670654297,0.044988002628088,0.9783360362052917
2,0.9428645372390747,0.5346803665161133,4.757890701293945,0.46531999111175537,1e-04,158.4665985107422,0.03258845582604408,0.7517060041427612,0.9974263310432434,1.751221532231284e-07,8.756113345498306e-08,0.9999998807907104,167.3451690673828,0.0,0.0
3,0.9975506067276001,2.819256508246326e-07,1.4096509914907074e-07,1.0,1e-04,159.34991455078125,0.0,0.0,0.9974263310432434,1.305928208239493e-06,6.529674578814593e-07,0.9999986290931702,167.3451690673828,0.0,0.0
4,0.9341812133789062,0.5717401504516602,4.845845699310303,0.4282599985599518,1e-04,158.4165496826172,0.02995392680168152,0.7984748482704163,0.9974263310432434,1.0446132137076347e-06,5.223076868787757e-07,0.9999988079071045,167.3451690673828,0.0,0.0
5,0.9370648860931396,0.5736957788467407,5.3685688972473145,0.4263048768043518,1e-04,158.4169921875,0.031225064769387245,0.7955213189125061,0.9332091212272644,0.5051038265228271,10.41399097442627,0.49489614367485046,166.1080322265625,0.038284238427877426,0.9933297634124756
6,0.9459202885627747,0.6141566634178162,6.405179500579834,0.38584256172180176,1e-04,158.37130737304688,0.037703122943639755,0.8254390358924866,0.9974263310432434,6.415657588521029e-11,3.221706582068329e-11,1.0,167.3451690673828,0.0,0.0
7,0.9975506067276001,5.246802992076027e-09,2.6234308059258638e-09,1.0,1e-04,159.34991455078125,0.0,0.0,0.9974263310432434,6.533059510038797e-11,3.2800002297550535e-11,1.0,167.3451690673828,0.0,0.0
8,0.9975506067276001,5.741759512289946e-09,2.870902848783885e-09,1.0,1e-04,159.34991455078125,0.0,0.0,0.9974263310432434,8.21364573577732e-11,4.1176964615807776e-11,1.0,167.3451690673828,0.0,0.0
9,0.9725956916809082,0.24922363460063934,2.447096347808838,0.7507768869400024,1e-04,158.93887329101562,0.03317258134484291,0.34938323497772217,0.9523642063140869,0.5026367902755737,11.158551216125488,0.49736320972442627,166.10691833496094,0.05297843739390373,0.9795332551002502
10,0.9392927885055542,0.7103052735328674,7.917768478393555,0.2896951138973236,1e-04,158.196533203125,0.03923816233873367,0.9708858132362366,0.941489577293396,0.5050132870674133,12.183334350585938,0.49498671293258667,166.0956573486328,0.04383521154522896,0.9964463710784912
11,0.9541080594062805,0.7352117300033569,10.509060859680176,0.2647886574268341,1e-05,158.17762756347656,0.05206228792667389,0.973592221736908,0.9631373286247253,0.524255096912384,12.001433372497559,0.47574499249458313,166.09010314941406,0.06878170371055603,0.984122633934021
12,0.9575636982917786,0.7427220344543457,11.156563758850098,0.2572770118713379,1e-05,158.17251586914062,0.05637259781360626,0.9747553467750549,0.9629733562469482,0.5258364677429199,13.125378608703613,0.4741635322570801,166.08531188964844,0.06872318685054779,0.9879137873649597
13,0.959011435508728,0.7454759478569031,11.41558837890625,0.2545243799686432,1e-05,158.17031860351562,0.05839761346578598,0.9752951860427856,0.9656039476394653,0.5285258889198303,12.184934616088867,0.4714740812778473,166.08499145507812,0.07386373728513718,0.9861844778060913
14,0.9607888460159302,0.7482009530067444,11.655444145202637,0.2517988979816437,1e-05,158.16940307617188,0.06100517511367798,0.974556028842926,0.9624626040458679,0.5252190232276917,14.103647232055664,0.47478094696998596,166.08363342285156,0.06788495182991028,0.9894436001777649
15,0.9612483382225037,0.7505754828453064,11.998273849487305,0.2494242787361145,1e-05,158.1678009033203,0.06179177761077881,0.975568413734436,0.9704602360725403,0.5314217805862427,10.655916213989258,0.4685782492160797,166.095458984375,0.08507326990365982,0.9743072986602783
16,0.9627752900123596,0.7530257105827332,12.293438911437988,0.24697448313236237,1e-05,158.16624450683594,0.06431647390127182,0.97540682554245,0.966278076171875,0.5316710472106934,12.00194263458252,0.4683290719985962,166.08152770996094,0.07547812163829803,0.9881133437156677
17,0.9630053639411926,0.7536753416061401,12.460465431213379,0.24632367491722107,1e-05,158.1660614013672,0.06472303718328476,0.9754675030708313,0.9705668687820435,0.5322316288948059,10.700395584106445,0.4677684009075165,166.09751892089844,0.08525963127613068,0.9727775454521179
18,0.9645940065383911,0.7562404870986938,12.638861656188965,0.24375838041305542,1e-05,158.16505432128906,0.06760001927614212,0.9749751091003418,0.9653844833374023,0.5297719240188599,12.807660102844238,0.4702281057834625,166.08016967773438,0.07364505529403687,0.9898046255111694
19,0.9646416306495667,0.7582911849021912,12.895058631896973,0.24170836806297302,1e-05,158.16366577148438,0.06776639074087143,0.9761338233947754,0.9727030992507935,0.5337002873420715,11.007424354553223,0.46629980206489563,166.09625244140625,0.09188272804021835,0.9720079302787781
20,0.9656183123588562,0.7595382928848267,12.929625511169434,0.2404620498418808,1e-05,158.1640625,0.06961194425821304,0.9748890399932861,0.9746569395065308,0.531966507434845,10.005976676940918,0.4680335223674774,166.1129913330078,0.09765563905239105,0.9575177431106567
21,0.9657374620437622,0.7601606249809265,13.040562629699707,0.23983938992023468,1e-05,158.16209411621094,0.0699489414691925,0.9763339161872864,0.9734939336776733,0.5320194959640503,10.732223510742188,0.4679805040359497,166.10726928710938,0.09383813291788101,0.963009774684906
22,0.9672630429267883,0.7624006271362305,13.28950309753418,0.23759965598583221,1e-05,158.16212463378906,0.07313192635774612,0.9751361608505249,0.9596482515335083,0.5245765447616577,13.755366325378418,0.4754234850406647,166.07542419433594,0.06364727765321732,0.9978145956993103
23,0.9682484269142151,0.7646695971488953,13.391425132751465,0.23532992601394653,1e-05,158.1610107421875,0.0754135251045227,0.9752282500267029,0.96616530418396,0.5311205983161926,13.499483108520508,0.46887946128845215,166.07411193847656,0.07562879472970963,0.9938333630561829
24,0.9684014320373535,0.7652028799057007,13.514851570129395,0.23479744791984558,1e-05,158.1605224609375,0.07580752670764923,0.9756015539169312,0.9674661159515381,0.5319790244102478,13.631682395935059,0.4680210053920746,166.08082580566406,0.07821224629878998,0.987780749797821
25,0.9700117111206055,0.7697680592536926,14.270516395568848,0.23023144900798798,1e-06,158.15811157226562,0.07991114258766174,0.9759365320205688,0.9733084440231323,0.5390259027481079,11.90671157836914,0.4609740674495697,166.0897216796875,0.09436994045972824,0.976540207862854
26,0.9705356359481812,0.7709917426109314,14.404909133911133,0.22900846600532532,1e-06,158.1573028564453,0.081354521214962,0.9762386679649353,0.974084198474884,0.5390714406967163,11.636893272399902,0.4609285891056061,166.0930938720703,0.09690804779529572,0.9732811450958252
27,0.9708096981048584,0.7705928683280945,14.433631896972656,0.22940674424171448,1e-06,158.15736389160156,0.0821031853556633,0.9759808778762817,0.9746852517127991,0.5407813191413879,11.513570785522461,0.45921874046325684,166.09230041503906,0.09923628717660904,0.9735186696052551
28,0.9710981845855713,0.7722482085227966,14.271835327148438,0.227752685546875,1e-06,158.15634155273438,0.08295712620019913,0.9764431118965149,0.9744257926940918,0.5404524803161621,11.669739723205566,0.4595475196838379,166.09127807617188,0.09829697757959366,0.9742883443832397
29,0.9715080261230469,0.7721977829933167,14.347814559936523,0.2278021275997162,1e-06,158.1567840576172,0.08410424739122391,0.9758172035217285,0.9743705987930298,0.5404625535011292,11.803600311279297,0.4595375061035156,166.0906219482422,0.09814437478780746,0.9749439358711243
30,0.9715526700019836,0.7731621861457825,14.389575004577637,0.2268379181623459,1e-06,158.1563262939453,0.08426154404878616,0.976150393486023,0.9730969071388245,0.5399385690689087,12.326786994934082,0.4600614905357361,166.08486938476562,0.09395939111709595,0.9803884029388428
31,0.9714800119400024,0.773439347743988,14.360137939453125,0.2265608310699463,1e-06,158.15643310546875,0.08405748754739761,0.9762812852859497,0.9735385179519653,0.5400483012199402,12.03882884979248,0.45995163917541504,166.08743286132812,0.09533590823411942,0.9781650304794312
32,0.971511960029602,0.7732678651809692,14.232418060302734,0.22673209011554718,1e-06,158.15679931640625,0.08411911129951477,0.9757938385009766,0.9752949476242065,0.5421920418739319,11.608004570007324,0.4578079879283905,166.09182739257812,0.10168150812387466,0.9733856320381165
33,0.9718517661094666,0.7732000946998596,14.5195951461792,0.22679974138736725,1e-06,158.15602111816406,0.08516755700111389,0.9761812686920166,0.9751845002174377,0.5431557297706604,11.60947036743164,0.4568443298339844,166.09039306640625,0.10134150087833405,0.9746208786964417
34,0.9719009399414062,0.7740024924278259,14.396328926086426,0.22599758207798004,1e-06,158.1560516357422,0.08530238270759583,0.9760234951972961,0.9758065938949585,0.5435816645622253,11.468779563903809,0.4564182460308075,166.093017578125,0.1037261113524437,0.9722169637680054
