epoch,accuracy,dice_coef,iou,loss,lr,mse,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_mse,val_precision,val_recall
0,0.9775741696357727,4.987158899893984e-05,2.813521678035613e-05,0.999950110912323,1e-04,0.024946428835392,0.08125670254230499,0.00030893675284460187,0.9786690473556519,4.279581026443149e-16,4.279580761745353e-16,1.0,0.02391878329217434,0.0,0.0
1,0.9776453971862793,3.7368020491447974e-16,3.7368017844470014e-16,1.0,1e-04,0.024891788139939308,0.0,0.0,0.9786690473556519,4.279581026443149e-16,4.279580761745353e-16,1.0,0.02391878329217434,0.0,0.0
2,0.9776453971862793,3.733021370524287e-16,3.733020841128695e-16,1.0,1e-04,0.024891788139939308,0.0,0.0,0.9786690473556519,4.279580761745353e-16,4.279580232349761e-16,1.0,0.02391878329217434,0.0,0.0
