,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
762,volume-8_slice_141_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
763,volume-8_slice_151_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
764,volume-8_slice_16_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
765,volume-8_slice_180_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
766,volume-8_slice_182_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
767,volume-8_slice_196_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
768,volume-8_slice_204_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
769,volume-8_slice_221_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
770,volume-8_slice_222_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
771,volume-8_slice_230_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
772,volume-8_slice_235_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
773,volume-8_slice_238_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
774,volume-8_slice_240_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
775,volume-8_slice_247_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
776,volume-8_slice_254_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
777,volume-8_slice_256_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
778,volume-8_slice_25_0,0.9998435974121094,0.9998435974121094,0.9996872437401072,0.9998435974121094,0.9998435974121094,"[[0. 0.]
 [1. 1.]]"
779,volume-8_slice_262_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
