epoch,accuracy,dice_coef,iou,loss,lr,mse,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_mse,val_precision,val_recall
0,0.9299930930137634,0.6958106756210327,7.005500316619873,0.30418920516967773,1e-04,158.2120361328125,0.03379490599036217,0.964233934879303,0.9398835897445679,0.47195905447006226,4.491807460784912,0.5280409455299377,166.1403045654297,0.04126095771789551,0.9622686505317688
1,0.9720672965049744,0.7639110684394836,12.69208812713623,0.23608852922916412,1e-04,158.1640625,0.08527874201536179,0.9693937301635742,0.9532809257507324,0.43753111362457275,3.405449867248535,0.5624688267707825,166.14401245117188,0.05242938920855522,0.9491087198257446
2,0.9791668057441711,0.7881237268447876,15.394969940185547,0.21187619864940643,1e-04,158.15054321289062,0.11495009809732437,0.9741785526275635,0.9838247895240784,0.5702424645423889,16.041833877563477,0.4297574758529663,166.04928588867188,0.159002423286438,0.9992493391036987
3,0.9849857687950134,0.8081417083740234,19.14175033569336,0.191858172416687,1e-04,158.13612365722656,0.16068939864635468,0.9815670251846313,0.9912654161453247,0.5420961380004883,6.374979496002197,0.4579039216041565,166.11984252929688,0.2823356091976166,0.941801905632019
4,0.9875063300132751,0.8182112574577332,21.840192794799805,0.18178808689117432,1e-04,158.12928771972656,0.19380085170269012,0.9850732088088989,0.9893692135810852,0.5736885070800781,18.380434036254883,0.4263114929199219,166.0473175048828,0.24150337278842926,0.9968359470367432
5,0.9882931113243103,0.8254110813140869,23.45062828063965,0.174589142203331,1e-04,158.12742614746094,0.20707114040851593,0.986416757106781,0.9893406629562378,0.5843225717544556,19.36700439453125,0.4156774878501892,166.04446411132812,0.24124068021774292,0.9989262819290161
6,0.9890815615653992,0.8305522203445435,25.28834342956543,0.1694478839635849,1e-04,158.12197875976562,0.22269178926944733,0.9899955987930298,0.99482661485672,0.43794915080070496,3.249964952468872,0.5620508193969727,166.3272247314453,0.43589866161346436,0.7806240916252136
7,0.9903321862220764,0.8384564518928528,27.32377052307129,0.16154389083385468,1e-04,158.1205291748047,0.2516780197620392,0.9905479550361633,0.990232527256012,0.5439303517341614,20.268966674804688,0.4560696482658386,166.044921875,0.2630774676799774,0.9979191422462463
8,0.9909683465957642,0.8430627584457397,28.94046974182129,0.1569361835718155,1e-04,158.11891174316406,0.2696150243282318,0.9914191365242004,0.9925001859664917,0.5396897196769714,20.889087677001953,0.46031031012535095,166.04481506347656,0.342332661151886,0.9963798522949219
9,0.9909695982933044,0.8442866206169128,29.316774368286133,0.15571334958076477,1e-04,158.11709594726562,0.2699469327926636,0.9927250146865845,0.989679753780365,0.5753732323646545,18.874582290649414,0.4246266186237335,166.044189453125,0.24916037917137146,0.9988692998886108
10,0.9914901852607727,0.8462012410163879,31.59333610534668,0.15380017459392548,1e-04,158.11582946777344,0.2865866720676422,0.9931923747062683,0.9905966520309448,0.5625213980674744,19.891578674316406,0.43747878074645996,166.04432678222656,0.2733204960823059,0.9981376528739929
11,0.9921622276306152,0.8551478385925293,32.733890533447266,0.14485126733779907,1e-05,158.11328125,0.3116248846054077,0.9951842427253723,0.9921881556510925,0.5832856893539429,23.41387176513672,0.4167143404483795,166.04222106933594,0.3291305601596832,0.9985937476158142
12,0.9933690428733826,0.861278235912323,38.45315933227539,0.1387220025062561,1e-05,158.1103515625,0.3687700927257538,0.9967877864837646,0.9934410452842712,0.5831972360610962,23.842037200927734,0.4168028235435486,166.04254150390625,0.39177167415618896,0.997453510761261
13,0.9939479827880859,0.8659206628799438,42.099456787109375,0.13408038020133972,1e-05,158.10906982421875,0.40423959493637085,0.9974039196968079,0.9934332370758057,0.5939321517944336,23.158905029296875,0.4060678780078888,166.04331970214844,0.39116689562797546,0.9969024658203125
14,0.9942150115966797,0.8667381405830383,44.51530838012695,0.13326163589954376,1e-05,158.10801696777344,0.42305058240890503,0.9980255961418152,0.9940200448036194,0.57325679063797,25.20058822631836,0.42674314975738525,166.04266357421875,0.42960381507873535,0.9969499707221985
15,0.9943046569824219,0.8673689365386963,45.74015426635742,0.1326318383216858,1e-05,158.1078338623047,0.4298170506954193,0.9982074499130249,0.9941964745521545,0.5719115138053894,24.056840896606445,0.4280884563922882,166.04417419433594,0.44239699840545654,0.9957337379455566
